pk,target
8831606085,0
8831561565,1
8831539811,1
8831313791,0
8831070109,0
8831052568,0
8831031956,0
8830976883,0
8830940571,1
8830889723,1
8830482516,0
8830405511,1
8830379625,0
8830254666,1
8830209119,0
8830202119,0
8830159778,0
8830064114,0
8830012526,0
8829975604,0
8829794125,0
8829786587,0
8829763227,0
8829727588,0
8829662987,1
8829650928,0
8829602289,1
8829550522,0
8829549742,0
8829509269,0
8829481290,1
8829408754,1
8829385084,0
8829384700,0
8829174009,0
8829165950,0
8829156490,0
8829130466,0
8829046983,0
8829043645,0
8828975588,0
8828952974,0
8828949963,0
8828889203,0
8828870671,0
8828831989,0
8828725324,0
8828697010,0
8828419900,0
8828356900,0
8828337497,0
8828270951,0
8828239329,0
8828233655,0
8828157992,1
8828009861,0
8827948808,0
8827926789,0
8827592915,0
8827517869,0
8827480321,0
8827112802,1
8826931645,0
8826901342,0
8826716463,0
8826567694,0
8826123414,1
8826075502,1
8825382706,0
8825030941,0
8824944150,0
8824736637,0
8824666838,0
8824502702,0
8824480781,1
8824340429,0
8824112300,0
8823976585,1
8823967232,0
8823937487,0
8823541772,1
8823515874,0
8823495261,1
8823446327,1
8820708336,0
8820247547,1
8820204424,0
8820199126,1
8820183478,1
8820114959,0
8820015309,1
8819929175,0
8819866738,0
8819862809,1
8819847751,1
8819801897,1
8819576292,1
8819490132,1
8819341777,1
8819313699,1
8819252336,0
8819202787,1
8819171237,0
8819142378,1
8819007312,1
8818894018,0
8818580551,1
8818559404,0
8818468247,1
8818466941,0
8818435769,1
8818408231,1
8818407724,0
8818361301,0
8818343155,0
8818308777,0
8818258074,0
8818257476,0
8818245894,1
8818223812,1
8818026454,0
8817967715,0
8817938403,0
8817667369,0
8817475968,1
8817200040,0
8817183718,0
8816982471,0
8816935264,0
8816808559,0
8816581804,1
8816548849,1
8816410392,0
8816375484,0
8816319465,1
8816317582,1
8816176939,0
8816098914,1
8815892495,1
8815607973,0
8815491773,1
8815402582,0
8815399925,0
8815199064,0
8815169645,0
8814856566,0
8814739949,1
8814185844,0
8813300065,0
8813246179,0
8813165632,0
8752796478,1
8752538632,0
